ID,iTree Common Name,iTree Botantical Name,iTree#,iTree Text,DBH,Address,CONDITION,MAINTPRIM,DEFECT,OHUTIL,SEWERVENT,WATERGAS,GSLENGTH,GSWIDTH,NOTES,Planted Date,Site Usage,Quadrant,Management Designation,In the CEJA?,LATITUDE,LONGITUDE,Native or Cultivated,Native Locale,Size Category,Shape or Form,Height (ft),Spread (ft),Growth Rate,Invasiveness,Wildlife,Leaf Description,Fall Color,Bark Color and Texture,Flower Description,Flower Color,Flower Fragrance,"Fruit, Nut, and Seed Descriptions",Plant Care,"Disease, Pests, and Problems",Shape or Form,OPAL Overall,OPAL F,OPAL M,CARE-S Allergy Potential,CARE-S Pollen Transport Mechanisms,CARE-S Pollen Production Amounts,Drough Resistance,Salt Tolerance,Bare Root Transplanting ,Required Soil Volumet,Invasiveness,Soil Preference,Light Exposure,Family (English),Family (Botanic),Suggested Frequency of Planting,Size Category,Native or Cultivated
6882,Pin oak,Quercus palustris,4952,QUPA,48,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04481603,-76.32379176,nativar,Eastern and Central United States,Large,"Pyramidal when young, oval with age",50-60,12-15,Fast,Little,Acorns are a valuable food source for wildlife,5-7 inches long; 5-7 lobes with bristle tips; deep sinuses,"Red, Copper","Grayish-brown, smooth when young, developing ridges with age",Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 1/2 inch long; shallow cap covers about one-fourth of the nut",Not Fragrant,Susceptible to chlorosis in high pH soils; monitor for pests,"Pyramidal when young, oval with age",8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,Moderate,Moderate,Moderately Difficult,100,Little,"Prefers moist, acidic, well-drained soils; intolerant of high pH soils",Full sun (6 hrs direct light daily),Beech,Fagaceae,Sparingly,Large,nativar
6887,Red maple,Acer rubrum,1678,ACRU,38,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04469272,-76.32384294,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6892,Red maple,Acer rubrum,1678,ACRU,35,901 BUCHANAN AVE,Poor,Remove,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04458555,-76.32387305,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6897,Red maple,Acer rubrum,1678,ACRU,40,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04447953,-76.32391971,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6902,Littleleaf linden,Tilia cordata,5858,TICO,26,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Park,No,40.04416148,-76.32403863,Non-native,Europe and Western Asia,Large,Pyramidal to oval form,50-70,30-50,Moderate,Low,Attracts pollinators; provides habitat for various bird species,"Simple, alternate, heart-shaped leaves, 2-3 inches long; dark green above, paler below; yellow fall color",Yellow,"Gray to brown bark, developing ridges and furrows with age","Fragrant, pale yellow flowers in early summer",Yellow,Fragrant,"Small, round nutlets attached to a leafy bract",Fragrant,Susceptible to Japanese beetle infestations; monitor for aphids and leaf scorch,Pyramidal to oval form,7,0,0,2,Insect Pollination and Wind Pollination,Medium Pollen Production,Low,Somewhat tolerant,Medium,50,Low,"Prefers moist, well-drained soils; tolerates a range of soil conditions",Full sun to partial shade,Linden,Tiliaceae,Sparingly,Large,Non-native
6907,Soulard crab,Malus x soulardii,4001,MASY3,12,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04403705,-76.32404921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6913,Soulard crab,Malus x soulardii,4001,MASY3,8,901 BUCHANAN AVE,Poor,Remove,Missing or decayed wood,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04400266,-76.32388949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6919,Red maple,Acer rubrum,1678,ACRU,27,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,SLF,,Tree,NWQ,Park,No,40.04402122,-76.32377968,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
6926,Soulard crab,Malus x soulardii,4001,MASY3,10,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04394807,-76.32360855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6931,Soulard crab,Malus x soulardii,4001,MASY3,11,901 BUCHANAN AVE,Poor,Prune,Missing or decayed wood,No,No,No,0,0,,,Tree,NWQ,Street,No,40.04391914,-76.3234688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6937,Soulard crab,Malus x soulardii,4001,MASY3,7,901 BUCHANAN AVE,Poor,Prune,Missing or decayed wood,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04388584,-76.32332405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6945,Soulard crab,Malus x soulardii,4001,MASY3,12,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04386401,-76.32319142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6952,Soulard crab,Malus x soulardii,4001,MASY3,8,901 BUCHANAN AVE,Poor,Prune,Root problems,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.043733,-76.32254185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6959,Soulard crab,Malus x soulardii,4001,MASY3,9,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04369807,-76.32237999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6966,Soulard crab,Malus x soulardii,4001,MASY3,8,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04366859,-76.32224451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6973,Soulard crab,Malus x soulardii,4001,MASY3,11,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04360745,-76.32194432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,Soulard crab,Malus x soulardii,4001,MASY3,9,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04354195,-76.32160706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6985,Soulard crab,Malus x soulardii,4001,MASY3,12,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,Yes,No,No,0,0,,,Tree,NWQ,Street,No,40.04352284,-76.32152292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7022,Northern red oak,Quercus rubra,4970,QURU,30,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04689948,-76.3230346,0,Eastern and Central North America,0,Rounded to broad-spreading crown,0,0,Fast,0,Acorns are a valuable food source for wildlife,"5-9 inches long; 7-11 lobes with bristle tips; dark green above, pale below",0,Dark brown to black; shallowly furrowed with flat ridges,Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 3/4 - 1 inch long; cap covers about one-fourth of the nut",Not Fragrant,Susceptible to oak wilt and other diseases; monitor for pests,Rounded to broad-spreading crown,8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,0,0,0,0,0,"Prefers moist, well-drained soils; adaptable to various soil types",Full sun (6 hrs direct light daily),Beech,Fagaceae,0,0,0
7026,Red maple,Acer rubrum,1678,ACRU,45,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04681882,-76.32306922,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
7036,Red maple,Acer rubrum,1678,ACRU,28,901 BUCHANAN AVE,Poor,Remove,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04664827,-76.32312341,nativar,0,Large,0,50-60,15-25,0,Little,0,0,"Yellow, Orange, Red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Poor,Easy,30,Little,0,0,Soapberry,Sapindaceae,Sparingly,Large,nativar
9827,Flowering dogwood,Cornus florida,2573,COFL,10,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04407869,-76.32334337,Non-native,Hybrid (C. florida � C. kousa),Small,"Multi-stemmed, round form",15-25,15-25,Moderate,None,Attracts birds and insect pollinators,"Opposite, simple leaves; characteristics intermediate between parents",Purple,Not specified,Four white or pink bracts with true flowers clustered at the center,Pink,Not Fragrant,Clusters of bright red fruit ripen in fall,Not Fragrant,Resistant to dogwood borer and anthracnose; may be difficult to find in nurseries,"Multi-stemmed, round form",5,0,0,0,Insect Pollination and Wind Pollination,Medium Pollen Production,Poor,Poor,Difficult,50,None,"Acidic, moist, well-drained soil",Full sun to partial shade,Dogwood,Cornaceae,Sparingly,Small,Non-native
9828,Eastern hemlock,Tsuga canadensis,5895,TSCA,21,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04441499,-76.32240491,Native to North America,0,Large,0,60-80,30-40,0,Low,0,0,No significant change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Not tolerant,Medium,50,Low,0,0,0,0,Frequently,Large,Native to North America
9830,Southern red oak,Quercus falcata,4875,QUFA,32,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04478899,-76.32154897,Native to North America,0,Large,0,60-80,50-60,0,Low,0,0,"Red, Yellow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,Somewhat tolerant,Medium,50,Low,0,0,Beech,Fagaceae,Frequently,Large,Native to North America
9832,Persian ironwood,Parrotia persica,6171,PAPE,9,901 BUCHANAN AVE,Fair,Prune,Broken and/or hanging branches,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04388835,-76.32270296,Non-native,Northern Iran,Medium,Oval to round form,20-40,15-30,Moderate,Little,Provides habitat for various bird species; attractive to pollinators,"Simple, alternate leaves, 2-5 inches long; dark green in summer, turning yellow, red, and orange in fall","Yellow, Orange, Red","Smooth gray bark that exfoliates to reveal patches of green, tan, and white",Inconspicuous; petal-less flowers with red stamens in early spring,Inconspicuous,Not Fragrant,"Small, non-ornamental capsules",Not Fragrant,Potential issues with Japanese beetles; generally pest-free,Oval to round form,No Data,No Data,No Data,Further investigations are needed,Insect Pollination w/ little to no Wind Pollination,Medium Pollen Production,High,Poor,Easy,50,Little,"Prefers moist, well-drained, acidic soils; tolerates alkaline soil, dry sites, and occasional drought",Full sun to partial shade,Witch Hazel,Hamamelidaceae,Moderately,Medium,Non-native
9833,Sugar maple,Acer saccharum,1680,ACSA2,34,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04421122,-76.32099257,nativar,Eastern North America,Large,"Dense, rounded crown",45-50,6-10,Medium,Little,Provides habitat and food for various bird species; source of maple syrup,"Leaves are opposite, simple, 3-6 inches long, with 5 lobes; dark green above, paler below; brilliant yellow to burnt-orange fall color","Yellow, Red","Gray-brown bark, becoming deeply furrowed with age",Inconspicuous; small greenish-yellow flowers in clusters,Green-Yellow,Not Fragrant,"Paired winged samaras, maturing in late summer",Not Fragrant,"Susceptible to leaf scorch, tar spot, and verticillium wilt; sensitive to road salt","Dense, rounded crown",0,1,10,1,Primarily Wind Pollination,Reduced Pollen Production,Moderate,Poor,Easy,30,Little,"Prefers moist, well-drained soils; intolerant of compacted soils and pollution",Full sun to partial shade,Soapberry,Sapindaceae,Sparingly,Large,nativar
9837,Japanese maple,Acer palmatum,1674,ACPA,7,901 BUCHANAN AVE,Fair,Routine Prune,Missing or decayed wood,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04359124,-76.32123397,Non-native,"Japan, Korea, China",Small,Rounded to spreading crown,15-25,15-25,Slow to medium,Low,Provides habitat and food for various bird species,"Leaves are opposite, simple, 2-5 inches long, deeply lobed with 5-9 lobes; various colors depending on cultivar; excellent fall color","Red, Orange","Smooth, gray bark",Inconspicuous; small reddish flowers in clusters,Red,Not Fragrant,"Paired winged samaras, maturing in late summer",Not Fragrant,"Susceptible to leaf scorch in hot, dry conditions; monitor for pests",Rounded to spreading crown,0,1,10,1,Insect Pollination w/ little to no Wind Pollination,Medium Pollen Production,Low,Not tolerant,Medium,30,Low,"Prefers moist, well-drained soils; sensitive to drought and heat",Partial shade to full sun,Soapberry,Sapindaceae,Sparingly,Small,Non-native
9841,Northern red oak,Quercus rubra,4970,QURU,27,901 BUCHANAN AVE,Fair,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04482284,-76.32170941,0,Eastern and Central North America,0,Rounded to broad-spreading crown,0,0,Fast,0,Acorns are a valuable food source for wildlife,"5-9 inches long; 7-11 lobes with bristle tips; dark green above, pale below",0,Dark brown to black; shallowly furrowed with flat ridges,Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 3/4 - 1 inch long; cap covers about one-fourth of the nut",Not Fragrant,Susceptible to oak wilt and other diseases; monitor for pests,Rounded to broad-spreading crown,8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,0,0,0,0,0,"Prefers moist, well-drained soils; adaptable to various soil types",Full sun (6 hrs direct light daily),Beech,Fagaceae,0,0,0
9842,Eastern hemlock,Tsuga canadensis,5895,TSCA,22,901 BUCHANAN AVE,Poor,Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04441154,-76.32245911,Native to North America,0,Large,0,60-80,30-40,0,Low,0,0,No significant change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Not tolerant,Medium,50,Low,0,0,0,0,Frequently,Large,Native to North America
9843,Sugar maple,Acer saccharum,1680,ACSA2,9,901 BUCHANAN AVE,Good,Routine Prune,None,No,No,No,0,0,,,Tree,NWQ,Park,No,40.0438849,-76.32284145,nativar,Eastern North America,Large,"Dense, rounded crown",45-50,6-10,Medium,Little,Provides habitat and food for various bird species; source of maple syrup,"Leaves are opposite, simple, 3-6 inches long, with 5 lobes; dark green above, paler below; brilliant yellow to burnt-orange fall color","Yellow, Red","Gray-brown bark, becoming deeply furrowed with age",Inconspicuous; small greenish-yellow flowers in clusters,Green-Yellow,Not Fragrant,"Paired winged samaras, maturing in late summer",Not Fragrant,"Susceptible to leaf scorch, tar spot, and verticillium wilt; sensitive to road salt","Dense, rounded crown",0,1,10,1,Primarily Wind Pollination,Reduced Pollen Production,Moderate,Poor,Easy,30,Little,"Prefers moist, well-drained soils; intolerant of compacted soils and pollution",Full sun to partial shade,Soapberry,Sapindaceae,Sparingly,Large,nativar
9844,Northern red oak,Quercus rubra,4970,QURU,10,901 BUCHANAN AVE,Good,Routine Prune,Dead and dying parts,No,No,No,0,0,,,Tree,NWQ,Park,No,40.04427793,-76.32308525,0,Eastern and Central North America,0,Rounded to broad-spreading crown,0,0,Fast,0,Acorns are a valuable food source for wildlife,"5-9 inches long; 7-11 lobes with bristle tips; dark green above, pale below",0,Dark brown to black; shallowly furrowed with flat ridges,Male flowers in catkins; female flowers are small and inconspicuous,Inconspicuous,Not Fragrant,"Acorns, 3/4 - 1 inch long; cap covers about one-fourth of the nut",Not Fragrant,Susceptible to oak wilt and other diseases; monitor for pests,Rounded to broad-spreading crown,8,0,0,2,Primarily Wind Pollination,Medium Pollen Production,0,0,0,0,0,"Prefers moist, well-drained soils; adaptable to various soil types",Full sun (6 hrs direct light daily),Beech,Fagaceae,0,0,0
